Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	0.50000	1282.1	0.00077999	-184.20	-184.16	2.2570	1.0886	1.6733	1127.5	-0.037014	0.00057830	0.19398	liquid
61.000	0.50000	1277.6	0.00078269	-182.52	-182.48	2.2847	1.0781	1.6743	1123.8	-0.036860	0.00055087	0.19256	liquid
62.000	0.50000	1273.2	0.00078542	-180.85	-180.81	2.3119	1.0688	1.6753	1119.2	-0.036714	0.00052526	0.19113	liquid
63.000	0.50000	1268.7	0.00078819	-179.17	-179.13	2.3387	1.0605	1.6760	1113.9	-0.036576	0.00050135	0.18971	liquid
64.000	0.50000	1264.3	0.00079098	-177.50	-177.46	2.3651	1.0530	1.6766	1108.1	-0.036444	0.00047901	0.18829	liquid
65.000	0.50000	1259.7	0.00079381	-175.82	-175.78	2.3911	1.0460	1.6771	1101.9	-0.036316	0.00045812	0.18687	liquid
66.000	0.50000	1255.2	0.00079667	-174.14	-174.10	2.4167	1.0395	1.6774	1095.3	-0.036191	0.00043857	0.18545	liquid
67.000	0.50000	1250.7	0.00079955	-172.47	-172.43	2.4419	1.0334	1.6777	1088.4	-0.036067	0.00042027	0.18402	liquid
68.000	0.50000	1246.2	0.00080247	-170.79	-170.75	2.4668	1.0276	1.6778	1081.2	-0.035943	0.00040312	0.18260	liquid
69.000	0.50000	1241.6	0.00080542	-169.11	-169.07	2.4913	1.0221	1.6779	1073.9	-0.035818	0.00038703	0.18118	liquid
70.000	0.50000	1237.0	0.00080840	-167.43	-167.39	2.5154	1.0168	1.6780	1066.5	-0.035690	0.00037193	0.17976	liquid
71.000	0.50000	1232.4	0.00081140	-165.75	-165.71	2.5392	1.0116	1.6781	1058.8	-0.035559	0.00035773	0.17833	liquid
72.000	0.50000	1227.8	0.00081444	-164.08	-164.04	2.5627	1.0066	1.6781	1051.1	-0.035423	0.00034438	0.17691	liquid
73.000	0.50000	1223.2	0.00081752	-162.40	-162.36	2.5858	1.0016	1.6783	1043.4	-0.035281	0.00033180	0.17549	liquid
74.000	0.50000	1218.6	0.00082062	-160.72	-160.68	2.6087	0.99685	1.6784	1035.5	-0.035132	0.00031994	0.17407	liquid
75.000	0.50000	1213.9	0.00082376	-159.04	-159.00	2.6312	0.99214	1.6787	1027.6	-0.034976	0.00030876	0.17264	liquid
76.000	0.50000	1209.3	0.00082693	-157.36	-157.32	2.6534	0.98752	1.6790	1019.6	-0.034812	0.00029819	0.17122	liquid
77.000	0.50000	1204.6	0.00083014	-155.68	-155.64	2.6754	0.98298	1.6795	1011.6	-0.034639	0.00028819	0.16979	liquid
78.000	0.50000	1199.9	0.00083338	-154.00	-153.96	2.6971	0.97851	1.6800	1003.6	-0.034456	0.00027873	0.16836	liquid
79.000	0.50000	1195.2	0.00083666	-152.32	-152.28	2.7185	0.97410	1.6807	995.58	-0.034263	0.00026977	0.16693	liquid
80.000	0.50000	1190.5	0.00083999	-150.64	-150.60	2.7396	0.96976	1.6815	987.51	-0.034059	0.00026127	0.16550	liquid
