Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	25.000	1285.0	0.00077821	-184.59	-182.64	2.2505	1.0895	1.6679	1134.3	-0.037177	0.00058976	0.19497	liquid
61.000	25.000	1280.6	0.00078086	-182.92	-180.97	2.2781	1.0797	1.6692	1130.5	-0.037023	0.00056185	0.19357	liquid
62.000	25.000	1276.2	0.00078355	-181.26	-179.30	2.3052	1.0709	1.6703	1125.9	-0.036879	0.00053579	0.19218	liquid
63.000	25.000	1271.8	0.00078627	-179.60	-177.63	2.3319	1.0631	1.6712	1120.7	-0.036744	0.00051146	0.19078	liquid
64.000	25.000	1267.4	0.00078902	-177.93	-175.96	2.3583	1.0559	1.6719	1114.9	-0.036616	0.00048872	0.18938	liquid
65.000	25.000	1263.0	0.00079179	-176.27	-174.29	2.3842	1.0492	1.6724	1108.8	-0.036494	0.00046747	0.18799	liquid
66.000	25.000	1258.5	0.00079460	-174.60	-172.61	2.4097	1.0430	1.6727	1102.2	-0.036376	0.00044758	0.18659	liquid
67.000	25.000	1254.0	0.00079743	-172.94	-170.94	2.4349	1.0371	1.6729	1095.4	-0.036261	0.00042895	0.18519	liquid
68.000	25.000	1249.5	0.00080030	-171.27	-169.27	2.4597	1.0315	1.6730	1088.4	-0.036146	0.00041150	0.18380	liquid
69.000	25.000	1245.0	0.00080319	-169.60	-167.60	2.4841	1.0262	1.6730	1081.2	-0.036031	0.00039512	0.18240	liquid
70.000	25.000	1240.5	0.00080610	-167.94	-165.92	2.5082	1.0210	1.6729	1073.9	-0.035915	0.00037975	0.18100	liquid
71.000	25.000	1236.0	0.00080905	-166.27	-164.25	2.5319	1.0159	1.6728	1066.4	-0.035796	0.00036530	0.17961	liquid
72.000	25.000	1231.5	0.00081203	-164.61	-162.58	2.5553	1.0110	1.6727	1058.9	-0.035673	0.00035171	0.17821	liquid
73.000	25.000	1226.9	0.00081503	-162.94	-160.90	2.5784	1.0061	1.6726	1051.2	-0.035545	0.00033891	0.17682	liquid
74.000	25.000	1222.4	0.00081807	-161.28	-159.23	2.6011	1.0014	1.6726	1043.5	-0.035411	0.00032685	0.17542	liquid
75.000	25.000	1217.8	0.00082113	-159.61	-157.56	2.6236	0.99677	1.6726	1035.8	-0.035271	0.00031547	0.17402	liquid
76.000	25.000	1213.2	0.00082423	-157.95	-155.89	2.6457	0.99220	1.6727	1028.0	-0.035124	0.00030471	0.17262	liquid
77.000	25.000	1208.7	0.00082736	-156.28	-154.21	2.6676	0.98770	1.6728	1020.2	-0.034968	0.00029455	0.17122	liquid
78.000	25.000	1204.1	0.00083053	-154.62	-152.54	2.6892	0.98327	1.6731	1012.4	-0.034804	0.00028492	0.16983	liquid
79.000	25.000	1199.4	0.00083373	-152.95	-150.87	2.7105	0.97889	1.6735	1004.6	-0.034631	0.00027580	0.16842	liquid
80.000	25.000	1194.8	0.00083697	-151.29	-149.19	2.7315	0.97458	1.6739	996.70	-0.034448	0.00026716	0.16702	liquid
81.000	25.000	1190.1	0.00084024	-149.62	-147.52	2.7523	0.97032	1.6746	988.82	-0.034255	0.00025894	0.16562	liquid
82.000	25.000	1185.5	0.00084355	-147.95	-145.84	2.7729	0.96612	1.6753	980.93	-0.034051	0.00025114	0.16421	liquid
83.000	25.000	1180.8	0.00084690	-146.29	-144.17	2.7932	0.96197	1.6762	973.02	-0.033835	0.00024371	0.16281	liquid
84.000	25.000	1176.1	0.00085029	-144.62	-142.49	2.8133	0.95787	1.6773	965.10	-0.033608	0.00023664	0.16140	liquid
85.000	25.000	1171.3	0.00085372	-142.95	-140.81	2.8331	0.95383	1.6785	957.17	-0.033368	0.00022990	0.15999	liquid
86.000	25.000	1166.6	0.00085720	-141.28	-139.14	2.8528	0.94984	1.6798	949.23	-0.033116	0.00022346	0.15858	liquid
87.000	25.000	1161.8	0.00086072	-139.61	-137.45	2.8722	0.94591	1.6814	941.27	-0.032850	0.00021731	0.15716	liquid
88.000	25.000	1157.0	0.00086429	-137.93	-135.77	2.8914	0.94202	1.6831	933.30	-0.032570	0.00021143	0.15575	liquid
89.000	25.000	1152.2	0.00086791	-136.26	-134.09	2.9105	0.93819	1.6850	925.31	-0.032275	0.00020580	0.15433	liquid
90.000	25.000	1147.4	0.00087157	-134.58	-132.40	2.9293	0.93441	1.6871	917.30	-0.031965	0.00020040	0.15291	liquid
91.000	25.000	1142.5	0.00087529	-132.90	-130.71	2.9480	0.93068	1.6894	909.28	-0.031640	0.00019523	0.15149	liquid
92.000	25.000	1137.6	0.00087906	-131.22	-129.02	2.9664	0.92700	1.6918	901.24	-0.031299	0.00019026	0.15006	liquid
93.000	25.000	1132.6	0.00088289	-129.54	-127.33	2.9847	0.92337	1.6945	893.17	-0.030940	0.00018548	0.14864	liquid
94.000	25.000	1127.7	0.00088678	-127.85	-125.63	3.0029	0.91979	1.6974	885.08	-0.030564	0.00018088	0.14721	liquid
95.000	25.000	1122.7	0.00089072	-126.16	-123.94	3.0209	0.91626	1.7005	876.97	-0.030170	0.00017646	0.14578	liquid
