Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
77.000	312.00	866.69	0.0011538	-134.48	-98.485	2.6588	1.1548	1.8697	1048.9	-0.044149	0.00024012	0.17350	liquid
78.000	312.00	863.48	0.0011581	-132.75	-96.616	2.6829	1.1489	1.8678	1042.3	-0.044045	0.00023184	0.17196	liquid
79.000	312.00	860.27	0.0011624	-131.02	-94.750	2.7067	1.1431	1.8659	1035.8	-0.043937	0.00022404	0.17043	liquid
80.000	312.00	857.06	0.0011668	-129.29	-92.885	2.7301	1.1374	1.8640	1029.3	-0.043824	0.00021668	0.16890	liquid
81.000	312.00	853.85	0.0011712	-127.56	-91.022	2.7533	1.1318	1.8622	1022.9	-0.043707	0.00020972	0.16739	liquid
82.000	312.00	850.63	0.0011756	-125.84	-89.160	2.7761	1.1262	1.8604	1016.4	-0.043585	0.00020314	0.16588	liquid
83.000	312.00	847.41	0.0011801	-124.12	-87.301	2.7986	1.1208	1.8587	1010.1	-0.043459	0.00019692	0.16438	liquid
84.000	312.00	844.19	0.0011846	-122.40	-85.443	2.8209	1.1155	1.8569	1003.7	-0.043327	0.00019101	0.16288	liquid
85.000	312.00	840.96	0.0011891	-120.69	-83.587	2.8429	1.1103	1.8552	997.40	-0.043191	0.00018542	0.16140	liquid
86.000	312.00	837.74	0.0011937	-118.98	-81.732	2.8645	1.1052	1.8536	991.12	-0.043051	0.00018010	0.15992	liquid
87.000	312.00	834.50	0.0011983	-117.27	-79.880	2.8860	1.1001	1.8519	984.87	-0.042905	0.00017505	0.15845	liquid
88.000	312.00	831.27	0.0012030	-115.56	-78.028	2.9071	1.0952	1.8503	978.65	-0.042754	0.00017024	0.15699	liquid
