Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
280.00	194.00	771.13	0.0012968	-538.67	-513.51	-1.4214	1.7638	2.1502	1460.6	-0.045313	0.0024686	0.14579	liquid
281.00	194.00	770.45	0.0012979	-536.54	-511.36	-1.4138	1.7672	2.1530	1456.7	-0.045245	0.0024136	0.14557	liquid
282.00	194.00	769.76	0.0012991	-534.41	-509.21	-1.4061	1.7706	2.1558	1452.7	-0.045177	0.0023605	0.14534	liquid
283.00	194.00	769.08	0.0013003	-532.28	-507.05	-1.3985	1.7740	2.1586	1448.8	-0.045108	0.0023093	0.14511	liquid
284.00	194.00	768.40	0.0013014	-530.14	-504.89	-1.3908	1.7775	2.1614	1445.0	-0.045039	0.0022598	0.14488	liquid
285.00	194.00	767.72	0.0013026	-528.00	-502.73	-1.3832	1.7809	2.1642	1441.1	-0.044969	0.0022121	0.14466	liquid
286.00	194.00	767.03	0.0013037	-525.86	-500.56	-1.3757	1.7844	2.1671	1437.2	-0.044899	0.0021659	0.14443	liquid
287.00	194.00	766.35	0.0013049	-523.71	-498.39	-1.3681	1.7878	2.1700	1433.4	-0.044828	0.0021212	0.14421	liquid
288.00	194.00	765.68	0.0013060	-521.56	-496.22	-1.3605	1.7913	2.1729	1429.6	-0.044757	0.0020780	0.14399	liquid
289.00	194.00	765.00	0.0013072	-519.41	-494.05	-1.3530	1.7948	2.1758	1425.8	-0.044685	0.0020362	0.14376	liquid
290.00	194.00	764.32	0.0013084	-517.25	-491.87	-1.3455	1.7983	2.1787	1422.0	-0.044613	0.0019958	0.14354	liquid
291.00	194.00	763.64	0.0013095	-515.10	-489.69	-1.3380	1.8018	2.1817	1418.2	-0.044541	0.0019566	0.14332	liquid
292.00	194.00	762.97	0.0013107	-512.94	-487.51	-1.3305	1.8054	2.1846	1414.4	-0.044468	0.0019186	0.14310	liquid
293.00	194.00	762.29	0.0013118	-510.77	-485.32	-1.3230	1.8089	2.1876	1410.7	-0.044395	0.0018818	0.14288	liquid
294.00	194.00	761.61	0.0013130	-508.61	-483.13	-1.3156	1.8125	2.1906	1406.9	-0.044321	0.0018462	0.14266	liquid
295.00	194.00	760.94	0.0013142	-506.44	-480.94	-1.3081	1.8160	2.1936	1403.2	-0.044247	0.0018116	0.14244	liquid
296.00	194.00	760.27	0.0013153	-504.26	-478.75	-1.3007	1.8196	2.1967	1399.5	-0.044172	0.0017781	0.14222	liquid
297.00	194.00	759.59	0.0013165	-502.09	-476.55	-1.2933	1.8232	2.1997	1395.8	-0.044097	0.0017455	0.14200	liquid
298.00	194.00	758.92	0.0013177	-499.91	-474.35	-1.2859	1.8268	2.2028	1392.1	-0.044022	0.0017139	0.14179	liquid
299.00	194.00	758.25	0.0013188	-497.73	-472.14	-1.2785	1.8304	2.2059	1388.4	-0.043946	0.0016832	0.14157	liquid
300.00	194.00	757.58	0.0013200	-495.54	-469.93	-1.2711	1.8340	2.2090	1384.8	-0.043870	0.0016534	0.14135	liquid
301.00	194.00	756.90	0.0013212	-493.35	-467.72	-1.2638	1.8376	2.2121	1381.1	-0.043794	0.0016244	0.14114	liquid
302.00	194.00	756.23	0.0013223	-491.16	-465.51	-1.2564	1.8412	2.2152	1377.5	-0.043717	0.0015963	0.14092	liquid
303.00	194.00	755.56	0.0013235	-488.97	-463.29	-1.2491	1.8449	2.2184	1373.8	-0.043640	0.0015689	0.14071	liquid
304.00	194.00	754.89	0.0013247	-486.77	-461.07	-1.2418	1.8485	2.2216	1370.2	-0.043563	0.0015423	0.14050	liquid
305.00	194.00	754.23	0.0013259	-484.57	-458.85	-1.2345	1.8521	2.2247	1366.6	-0.043485	0.0015164	0.14028	liquid
306.00	194.00	753.56	0.0013270	-482.37	-456.62	-1.2272	1.8558	2.2279	1363.1	-0.043407	0.0014912	0.14007	liquid
307.00	194.00	752.89	0.0013282	-480.16	-454.39	-1.2199	1.8595	2.2311	1359.5	-0.043329	0.0014667	0.13986	liquid
308.00	194.00	752.22	0.0013294	-477.95	-452.16	-1.2126	1.8632	2.2343	1355.9	-0.043251	0.0014428	0.13965	liquid
309.00	194.00	751.56	0.0013306	-475.74	-449.93	-1.2054	1.8668	2.2376	1352.4	-0.043172	0.0014195	0.13944	liquid
310.00	194.00	750.89	0.0013318	-473.52	-447.69	-1.1982	1.8705	2.2408	1348.8	-0.043093	0.0013969	0.13923	liquid
311.00	194.00	750.22	0.0013329	-471.30	-445.44	-1.1909	1.8742	2.2441	1345.3	-0.043013	0.0013748	0.13902	liquid
312.00	194.00	749.56	0.0013341	-469.08	-443.20	-1.1837	1.8779	2.2473	1341.8	-0.042933	0.0013533	0.13881	liquid
313.00	194.00	748.89	0.0013353	-466.85	-440.95	-1.1765	1.8816	2.2506	1338.3	-0.042853	0.0013324	0.13860	liquid
314.00	194.00	748.23	0.0013365	-464.63	-438.70	-1.1694	1.8854	2.2539	1334.8	-0.042773	0.0013119	0.13840	liquid
315.00	194.00	747.57	0.0013377	-462.39	-436.44	-1.1622	1.8891	2.2572	1331.3	-0.042693	0.0012920	0.13819	liquid
316.00	194.00	746.90	0.0013389	-460.16	-434.18	-1.1550	1.8928	2.2605	1327.9	-0.042612	0.0012726	0.13798	liquid
317.00	194.00	746.24	0.0013401	-457.92	-431.92	-1.1479	1.8965	2.2639	1324.4	-0.042531	0.0012536	0.13778	liquid
318.00	194.00	745.58	0.0013412	-455.68	-429.66	-1.1407	1.9003	2.2672	1321.0	-0.042450	0.0012351	0.13757	liquid
319.00	194.00	744.92	0.0013424	-453.43	-427.39	-1.1336	1.9040	2.2705	1317.6	-0.042368	0.0012171	0.13737	liquid
320.00	194.00	744.25	0.0013436	-451.18	-425.11	-1.1265	1.9078	2.2739	1314.1	-0.042286	0.0011994	0.13716	liquid
321.00	194.00	743.59	0.0013448	-448.93	-422.84	-1.1194	1.9116	2.2773	1310.7	-0.042205	0.0011822	0.13696	liquid
322.00	194.00	742.93	0.0013460	-446.67	-420.56	-1.1123	1.9153	2.2807	1307.3	-0.042122	0.0011654	0.13675	liquid
323.00	194.00	742.27	0.0013472	-444.41	-418.28	-1.1052	1.9191	2.2841	1303.9	-0.042040	0.0011490	0.13655	liquid
324.00	194.00	741.61	0.0013484	-442.15	-415.99	-1.0982	1.9229	2.2875	1300.6	-0.041957	0.0011329	0.13635	liquid
325.00	194.00	740.95	0.0013496	-439.88	-413.70	-1.0911	1.9267	2.2909	1297.2	-0.041875	0.0011172	0.13615	liquid
326.00	194.00	740.29	0.0013508	-437.62	-411.41	-1.0841	1.9304	2.2943	1293.9	-0.041792	0.0011019	0.13595	liquid
327.00	194.00	739.63	0.0013520	-435.34	-409.11	-1.0770	1.9342	2.2977	1290.5	-0.041708	0.0010869	0.13575	liquid
328.00	194.00	738.98	0.0013532	-433.07	-406.81	-1.0700	1.9380	2.3012	1287.2	-0.041625	0.0010722	0.13555	liquid
