Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	0.50000	1.2046	0.83017	67.112	108.62	15.371	3.1164	5.2187	263.54	0.10954	3.5616e-06	0.026122	vapor
21.000	0.50000	1.1468	0.87196	70.241	113.84	15.626	3.1164	5.2163	270.07	0.10028	3.6768e-06	0.026928	vapor
22.000	0.50000	1.0944	0.91372	73.368	119.05	15.869	3.1164	5.2143	276.44	0.091851	3.7894e-06	0.027721	vapor
23.000	0.50000	1.0466	0.95546	76.494	124.27	16.100	3.1164	5.2125	282.66	0.084150	3.8999e-06	0.028500	vapor
24.000	0.50000	1.0028	0.99718	79.620	129.48	16.322	3.1164	5.2109	288.75	0.077084	4.0081e-06	0.029267	vapor
25.000	0.50000	0.96256	1.0389	82.744	134.69	16.535	3.1165	5.2095	294.71	0.070578	4.1144e-06	0.030023	vapor
26.000	0.50000	0.92542	1.0806	85.868	139.90	16.739	3.1165	5.2083	300.55	0.064568	4.2188e-06	0.030769	vapor
27.000	0.50000	0.89105	1.1223	88.992	145.11	16.936	3.1165	5.2072	306.28	0.058999	4.3214e-06	0.031505	vapor
28.000	0.50000	0.85915	1.1639	92.115	150.31	17.125	3.1165	5.2062	311.90	0.053824	4.4223e-06	0.032231	vapor
29.000	0.50000	0.82945	1.2056	95.237	155.52	17.308	3.1165	5.2053	317.41	0.049002	4.5217e-06	0.032949	vapor
30.000	0.50000	0.80175	1.2473	98.359	160.72	17.484	3.1165	5.2045	322.84	0.044500	4.6196e-06	0.033660	vapor
31.000	0.50000	0.77584	1.2889	101.48	165.93	17.655	3.1165	5.2038	328.17	0.040286	4.7161e-06	0.034362	vapor
32.000	0.50000	0.75156	1.3306	104.60	171.13	17.820	3.1165	5.2032	333.42	0.036333	4.8112e-06	0.035057	vapor
33.000	0.50000	0.72876	1.3722	107.72	176.33	17.980	3.1165	5.2026	338.58	0.032619	4.9050e-06	0.035745	vapor
34.000	0.50000	0.70730	1.4138	110.84	181.54	18.135	3.1165	5.2020	343.66	0.029122	4.9976e-06	0.036427	vapor
35.000	0.50000	0.68707	1.4555	113.96	186.74	18.286	3.1165	5.2015	348.68	0.025825	5.0891e-06	0.037103	vapor
36.000	0.50000	0.66797	1.4971	117.09	191.94	18.433	3.1165	5.2011	353.61	0.022710	5.1794e-06	0.037772	vapor
