Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
20.000	396.00	236.81	0.0042228	47.560	214.78	1.5479	3.2286	4.2491	898.70	-0.081257	1.7311e-05	0.15095	supercritical
21.000	396.00	234.65	0.0042617	50.316	219.08	1.7574	3.2651	4.3369	896.24	-0.079308	1.6543e-05	0.15058	supercritical
22.000	396.00	232.50	0.0043011	53.131	223.46	1.9610	3.2967	4.4184	893.73	-0.077539	1.5896e-05	0.15003	supercritical
23.000	396.00	230.35	0.0043412	56.000	227.91	2.1591	3.3242	4.4942	891.21	-0.075922	1.5346e-05	0.14931	supercritical
24.000	396.00	228.21	0.0043819	58.918	232.44	2.3519	3.3480	4.5649	888.68	-0.074436	1.4878e-05	0.14846	supercritical
25.000	396.00	226.08	0.0044232	61.881	237.04	2.5396	3.3686	4.6310	886.18	-0.073064	1.4475e-05	0.14749	supercritical
26.000	396.00	223.96	0.0044651	64.885	241.70	2.7225	3.3865	4.6927	883.73	-0.071792	1.4129e-05	0.14644	supercritical
27.000	396.00	221.85	0.0045075	67.927	246.42	2.9007	3.4019	4.7505	881.33	-0.070608	1.3830e-05	0.14532	supercritical
28.000	396.00	219.76	0.0045505	71.003	251.20	3.0744	3.4152	4.8046	879.00	-0.069503	1.3571e-05	0.14414	supercritical
29.000	396.00	217.67	0.0045940	74.110	256.03	3.2439	3.4267	4.8553	876.76	-0.068470	1.3345e-05	0.14293	supercritical
30.000	396.00	215.61	0.0046380	77.245	260.91	3.4093	3.4365	4.9028	874.60	-0.067502	1.3150e-05	0.14168	supercritical
31.000	396.00	213.56	0.0046826	80.407	265.84	3.5708	3.4448	4.9473	872.54	-0.066594	1.2979e-05	0.14042	supercritical
32.000	396.00	211.52	0.0047276	83.593	270.81	3.7285	3.4518	4.9889	870.58	-0.065740	1.2831e-05	0.13915	supercritical
33.000	396.00	209.51	0.0047731	86.801	275.81	3.8827	3.4577	5.0278	868.73	-0.064938	1.2702e-05	0.13788	supercritical
34.000	396.00	207.51	0.0048190	90.028	280.86	4.0333	3.4626	5.0642	866.98	-0.064184	1.2589e-05	0.13661	supercritical
35.000	396.00	205.54	0.0048653	93.275	285.94	4.1806	3.4666	5.0981	865.34	-0.063474	1.2492e-05	0.13537	supercritical
36.000	396.00	203.58	0.0049121	96.537	291.06	4.3247	3.4698	5.1298	863.82	-0.062807	1.2407e-05	0.13414	supercritical
37.000	396.00	201.64	0.0049592	99.815	296.20	4.4656	3.4723	5.1592	862.40	-0.062179	1.2334e-05	0.13293	supercritical
38.000	396.00	199.73	0.0050067	103.11	301.37	4.6036	3.4741	5.1866	861.09	-0.061590	1.2272e-05	0.13175	supercritical
39.000	396.00	197.84	0.0050546	106.41	306.57	4.7386	3.4754	5.2121	859.89	-0.061035	1.2218e-05	0.13061	supercritical
40.000	396.00	195.97	0.0051028	109.73	311.80	4.8709	3.4762	5.2356	858.80	-0.060515	1.2173e-05	0.12949	supercritical
41.000	396.00	194.13	0.0051513	113.05	317.04	5.0004	3.4766	5.2574	857.81	-0.060027	1.2136e-05	0.12841	supercritical
42.000	396.00	192.30	0.0052001	116.39	322.31	5.1274	3.4766	5.2776	856.92	-0.059570	1.2104e-05	0.12737	supercritical
43.000	396.00	190.50	0.0052492	119.73	327.60	5.2518	3.4763	5.2961	856.13	-0.059141	1.2079e-05	0.12637	supercritical
44.000	396.00	188.73	0.0052986	123.08	332.90	5.3737	3.4756	5.3132	855.44	-0.058741	1.2059e-05	0.12540	supercritical
