Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
102.00	378.00	460.12	0.0021733	-54.610	27.543	-0.53879	2.1874	3.2426	1679.7	-0.051086	0.00022303	0.23016	liquid
103.00	378.00	459.05	0.0021784	-51.559	30.786	-0.50715	2.1828	3.2431	1673.1	-0.050998	0.00021649	0.22910	liquid
104.00	378.00	457.97	0.0021835	-48.509	34.029	-0.47581	2.1783	3.2437	1666.4	-0.050908	0.00021031	0.22803	liquid
105.00	378.00	456.90	0.0021887	-45.458	37.273	-0.44477	2.1738	3.2442	1659.7	-0.050816	0.00020447	0.22696	liquid
106.00	378.00	455.83	0.0021938	-42.409	40.517	-0.41402	2.1694	3.2448	1653.1	-0.050721	0.00019895	0.22587	liquid
107.00	378.00	454.75	0.0021990	-39.360	43.763	-0.38355	2.1650	3.2454	1646.4	-0.050624	0.00019371	0.22478	liquid
108.00	378.00	453.68	0.0022042	-36.311	47.008	-0.35335	2.1607	3.2461	1639.7	-0.050525	0.00018874	0.22368	liquid
109.00	378.00	452.60	0.0022094	-33.262	50.255	-0.32343	2.1563	3.2467	1633.0	-0.050425	0.00018402	0.22258	liquid
110.00	378.00	451.53	0.0022147	-30.214	53.502	-0.29378	2.1521	3.2473	1626.4	-0.050321	0.00017952	0.22147	liquid
111.00	378.00	450.45	0.0022200	-27.167	56.749	-0.26439	2.1478	3.2480	1619.7	-0.050216	0.00017524	0.22036	liquid
112.00	378.00	449.37	0.0022253	-24.120	59.998	-0.23526	2.1436	3.2486	1613.0	-0.050109	0.00017116	0.21924	liquid
113.00	378.00	448.30	0.0022307	-21.073	63.246	-0.20638	2.1394	3.2492	1606.3	-0.050000	0.00016726	0.21812	liquid
114.00	378.00	447.22	0.0022361	-18.027	66.496	-0.17775	2.1353	3.2499	1599.6	-0.049888	0.00016354	0.21699	liquid
115.00	378.00	446.14	0.0022415	-14.981	69.746	-0.14936	2.1312	3.2506	1593.0	-0.049775	0.00015997	0.21587	liquid
116.00	378.00	445.06	0.0022469	-11.935	72.997	-0.12121	2.1271	3.2512	1586.3	-0.049659	0.00015656	0.21474	liquid
117.00	378.00	443.98	0.0022524	-8.8905	76.249	-0.093302	2.1230	3.2519	1579.6	-0.049542	0.00015329	0.21360	liquid
118.00	378.00	442.90	0.0022579	-5.8461	79.501	-0.065624	2.1190	3.2525	1573.0	-0.049422	0.00015015	0.21247	liquid
119.00	378.00	441.82	0.0022634	-2.8022	82.754	-0.038173	2.1149	3.2532	1566.3	-0.049300	0.00014713	0.21133	liquid
120.00	378.00	440.73	0.0022689	0.24116	86.007	-0.010947	2.1109	3.2538	1559.7	-0.049175	0.00014424	0.21020	liquid
121.00	378.00	439.65	0.0022745	3.2840	89.261	0.016058	2.1070	3.2545	1553.0	-0.049049	0.00014145	0.20906	liquid
122.00	378.00	438.57	0.0022802	6.3264	92.516	0.042847	2.1030	3.2551	1546.4	-0.048920	0.00013876	0.20792	liquid
123.00	378.00	437.48	0.0022858	9.3681	95.772	0.069422	2.0991	3.2558	1539.8	-0.048789	0.00013618	0.20678	liquid
124.00	378.00	436.40	0.0022915	12.409	99.028	0.095788	2.0952	3.2565	1533.2	-0.048655	0.00013368	0.20565	liquid
125.00	378.00	435.31	0.0022972	15.450	102.28	0.12195	2.0913	3.2571	1526.6	-0.048519	0.00013128	0.20451	liquid
126.00	378.00	434.22	0.0023030	18.490	105.54	0.14790	2.0875	3.2578	1520.0	-0.048380	0.00012895	0.20337	liquid
127.00	378.00	433.14	0.0023087	21.529	108.80	0.17366	2.0837	3.2585	1513.4	-0.048240	0.00012671	0.20223	liquid
128.00	378.00	432.05	0.0023146	24.568	112.06	0.19922	2.0799	3.2592	1506.9	-0.048096	0.00012453	0.20110	liquid
129.00	378.00	430.96	0.0023204	27.607	115.32	0.22458	2.0761	3.2598	1500.3	-0.047950	0.00012243	0.19997	liquid
130.00	378.00	429.87	0.0023263	30.644	118.58	0.24976	2.0724	3.2605	1493.7	-0.047801	0.00012039	0.19883	liquid
131.00	378.00	428.77	0.0023322	33.681	121.84	0.27475	2.0687	3.2612	1487.2	-0.047650	0.00011842	0.19770	liquid
132.00	378.00	427.68	0.0023382	36.718	125.10	0.29955	2.0650	3.2619	1480.7	-0.047496	0.00011651	0.19658	liquid
133.00	378.00	426.59	0.0023442	39.753	128.36	0.32417	2.0613	3.2627	1474.2	-0.047339	0.00011465	0.19545	liquid
134.00	378.00	425.49	0.0023502	42.788	131.63	0.34861	2.0577	3.2634	1467.7	-0.047180	0.00011285	0.19433	liquid
135.00	378.00	424.40	0.0023563	45.823	134.89	0.37288	2.0541	3.2641	1461.2	-0.047017	0.00011111	0.19321	liquid
136.00	378.00	423.30	0.0023624	48.856	138.15	0.39697	2.0505	3.2649	1454.7	-0.046852	0.00010941	0.19209	liquid
137.00	378.00	422.20	0.0023685	51.890	141.42	0.42089	2.0469	3.2656	1448.3	-0.046684	0.00010776	0.19098	liquid
138.00	378.00	421.10	0.0023747	54.922	144.69	0.44465	2.0434	3.2664	1441.8	-0.046512	0.00010615	0.18986	liquid
139.00	378.00	420.00	0.0023809	57.954	147.95	0.46823	2.0399	3.2672	1435.4	-0.046338	0.00010459	0.18876	liquid
140.00	378.00	418.90	0.0023872	60.985	151.22	0.49166	2.0365	3.2679	1429.0	-0.046161	0.00010307	0.18765	liquid
141.00	378.00	417.80	0.0023935	64.015	154.49	0.51492	2.0330	3.2687	1422.6	-0.045980	0.00010159	0.18655	liquid
142.00	378.00	416.70	0.0023998	67.045	157.76	0.53802	2.0296	3.2696	1416.2	-0.045797	0.00010015	0.18545	liquid
143.00	378.00	415.59	0.0024062	70.074	161.03	0.56097	2.0262	3.2704	1409.9	-0.045610	9.8749e-05	0.18436	liquid
144.00	378.00	414.49	0.0024126	73.102	164.30	0.58376	2.0229	3.2712	1403.5	-0.045420	9.7380e-05	0.18327	liquid
145.00	378.00	413.38	0.0024191	76.130	167.57	0.60640	2.0196	3.2721	1397.2	-0.045227	9.6046e-05	0.18218	liquid
146.00	378.00	412.28	0.0024256	79.156	170.84	0.62890	2.0163	3.2730	1390.9	-0.045030	9.4744e-05	0.18110	liquid
147.00	378.00	411.17	0.0024321	82.183	174.12	0.65124	2.0130	3.2739	1384.6	-0.044830	9.3473e-05	0.18002	liquid
148.00	378.00	410.06	0.0024387	85.208	177.39	0.67344	2.0098	3.2748	1378.3	-0.044627	9.2233e-05	0.17895	liquid
149.00	378.00	408.95	0.0024453	88.233	180.67	0.69549	2.0066	3.2757	1372.0	-0.044420	9.1022e-05	0.17788	liquid
150.00	378.00	407.83	0.0024520	91.257	183.94	0.71741	2.0034	3.2766	1365.8	-0.044210	8.9840e-05	0.17682	liquid
151.00	378.00	406.72	0.0024587	94.281	187.22	0.73918	2.0003	3.2776	1359.5	-0.043996	8.8684e-05	0.17576	liquid
152.00	378.00	405.61	0.0024654	97.303	190.50	0.76082	1.9972	3.2786	1353.3	-0.043779	8.7555e-05	0.17471	liquid
153.00	378.00	404.49	0.0024722	100.33	193.78	0.78232	1.9941	3.2796	1347.1	-0.043558	8.6451e-05	0.17366	liquid
154.00	378.00	403.37	0.0024791	103.35	197.06	0.80369	1.9910	3.2806	1341.0	-0.043333	8.5371e-05	0.17262	liquid
155.00	378.00	402.26	0.0024860	106.37	200.34	0.82493	1.9880	3.2816	1334.8	-0.043105	8.4316e-05	0.17158	liquid
156.00	378.00	401.14	0.0024929	109.39	203.62	0.84604	1.9850	3.2826	1328.7	-0.042873	8.3283e-05	0.17054	liquid
157.00	378.00	400.02	0.0024999	112.41	206.90	0.86701	1.9821	3.2837	1322.5	-0.042637	8.2272e-05	0.16951	liquid
158.00	378.00	398.90	0.0025069	115.43	210.19	0.88787	1.9792	3.2848	1316.4	-0.042397	8.1283e-05	0.16849	liquid
159.00	378.00	397.77	0.0025140	118.44	213.47	0.90859	1.9763	3.2859	1310.4	-0.042154	8.0314e-05	0.16747	liquid
160.00	378.00	396.65	0.0025211	121.46	216.76	0.92920	1.9734	3.2870	1304.3	-0.041906	7.9366e-05	0.16646	liquid
161.00	378.00	395.52	0.0025283	124.48	220.05	0.94968	1.9706	3.2881	1298.2	-0.041655	7.8437e-05	0.16545	liquid
162.00	378.00	394.40	0.0025355	127.49	223.33	0.97005	1.9678	3.2893	1292.2	-0.041400	7.7527e-05	0.16445	liquid
163.00	378.00	393.27	0.0025428	130.51	226.62	0.99029	1.9650	3.2905	1286.2	-0.041140	7.6635e-05	0.16346	liquid
164.00	378.00	392.14	0.0025501	133.52	229.92	1.0104	1.9623	3.2917	1280.2	-0.040877	7.5761e-05	0.16247	liquid
