Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
16.000	43.000	78.792	0.012692	-46.993	7.5812	-2.6436	5.3156	7.1059	1367.4	-0.15305	2.6266e-05	0.10451	liquid
17.000	43.000	78.074	0.012808	-40.242	14.834	-2.2040	5.4035	7.4039	1352.4	-0.14538	2.3707e-05	0.10617	liquid
18.000	43.000	77.326	0.012932	-33.215	22.394	-1.7720	5.4893	7.7171	1336.8	-0.13781	2.1566e-05	0.10761	liquid
19.000	43.000	76.547	0.013064	-25.902	30.273	-1.3461	5.5709	8.0423	1320.3	-0.13041	1.9748e-05	0.10885	liquid
20.000	43.000	75.736	0.013204	-18.293	38.483	-0.92506	5.6490	8.3799	1302.9	-0.12314	1.8186e-05	0.10989	liquid
21.000	43.000	74.892	0.013353	-10.379	47.037	-0.50776	5.7244	8.7309	1284.6	-0.11599	1.6832e-05	0.11072	liquid
22.000	43.000	74.013	0.013511	-2.1487	55.949	-0.093216	5.7973	9.0967	1265.3	-0.10891	1.5646e-05	0.11137	liquid
23.000	43.000	73.097	0.013680	6.4095	65.236	0.31951	5.8676	9.4783	1245.1	-0.10188	1.4600e-05	0.11182	liquid
24.000	43.000	72.142	0.013862	15.307	74.912	0.73127	5.9350	9.8773	1224.0	-0.094839	1.3670e-05	0.11208	liquid
25.000	43.000	71.147	0.014055	24.558	84.997	1.1429	5.9991	10.295	1201.9	-0.087756	1.2838e-05	0.11217	liquid
26.000	43.000	70.108	0.014264	34.176	95.510	1.5552	6.0597	10.735	1178.9	-0.080575	1.2087e-05	0.11208	liquid
27.000	43.000	69.023	0.014488	44.176	106.47	1.9689	6.1165	11.198	1154.9	-0.073237	1.1406e-05	0.11182	liquid
28.000	43.000	67.888	0.014730	54.575	117.91	2.3849	6.1694	11.688	1130.0	-0.065677	1.0783e-05	0.11139	liquid
29.000	43.000	66.700	0.014993	65.393	129.86	2.8041	6.2184	12.211	1104.1	-0.057819	1.0210e-05	0.11079	liquid
30.000	43.000	65.453	0.015278	76.652	142.35	3.2273	6.2636	12.770	1077.2	-0.049579	9.6793e-06	0.11003	liquid
31.000	43.000	64.143	0.015590	88.377	155.42	3.6558	6.3052	13.372	1049.4	-0.040862	9.1850e-06	0.10913	liquid
32.000	43.000	62.763	0.015933	100.60	169.11	4.0905	6.3436	14.024	1020.6	-0.031563	8.7214e-06	0.10811	liquid
33.000	43.000	61.307	0.016311	113.34	183.48	4.5327	6.3791	14.733	990.92	-0.021565	8.2841e-06	0.10693	liquid
34.000	43.000	59.769	0.016731	126.65	198.60	4.9838	6.4125	15.507	960.35	-0.010743	7.8692e-06	0.10558	supercritical
35.000	43.000	58.139	0.017200	140.56	214.52	5.4454	6.4443	16.354	929.02	0.0010340	7.4736e-06	0.10407	supercritical
36.000	43.000	56.411	0.017727	155.10	231.33	5.9188	6.4754	17.277	897.12	0.013894	7.0948e-06	0.10238	supercritical
37.000	43.000	54.579	0.018322	170.31	249.10	6.4057	6.5065	18.276	864.93	0.027943	6.7311e-06	0.10052	supercritical
38.000	43.000	52.638	0.018998	186.21	267.90	6.9071	6.5385	19.339	832.86	0.043241	6.3816e-06	0.098476	supercritical
39.000	43.000	50.591	0.019767	202.79	287.79	7.4236	6.5718	20.436	801.49	0.059760	6.0467e-06	0.096251	supercritical
40.000	43.000	48.446	0.020642	220.01	308.77	7.9546	6.6065	21.514	771.56	0.077339	5.7276e-06	0.093853	supercritical
41.000	43.000	46.225	0.021633	237.76	330.79	8.4982	6.6416	22.496	743.91	0.095647	5.4272e-06	0.091304	supercritical
42.000	43.000	43.962	0.022747	255.88	353.70	9.0503	6.6753	23.290	719.36	0.11418	5.1487e-06	0.088642	supercritical
43.000	43.000	41.700	0.023981	274.16	377.28	9.6051	6.7049	23.817	698.55	0.13234	4.8957e-06	0.085922	supercritical
44.000	43.000	39.489	0.025324	292.33	401.23	10.156	6.7281	24.028	681.78	0.14948	4.6711e-06	0.083212	supercritical
45.000	43.000	37.373	0.026757	310.17	425.23	10.695	6.7430	23.925	668.99	0.16505	4.4760e-06	0.080583	supercritical
46.000	43.000	35.386	0.028260	327.47	448.98	11.217	6.7493	23.553	659.83	0.17867	4.3101e-06	0.078098	supercritical
47.000	43.000	33.548	0.029808	344.09	472.27	11.718	6.7481	22.984	653.78	0.19012	4.1713e-06	0.075799	supercritical
48.000	43.000	31.866	0.031382	359.97	494.91	12.195	6.7410	22.294	650.28	0.19937	4.0569e-06	0.073702	supercritical
49.000	43.000	30.337	0.032963	375.10	516.84	12.647	6.7300	21.548	648.81	0.20653	3.9635e-06	0.071770	supercritical
50.000	43.000	28.952	0.034540	389.49	538.01	13.075	6.7166	20.796	648.92	0.21178	3.8881e-06	0.069794	supercritical
51.000	43.000	27.698	0.036104	403.19	558.44	13.479	6.7023	20.070	650.25	0.21539	3.8278e-06	0.068716	supercritical
52.000	43.000	26.561	0.037650	416.27	578.16	13.862	6.6880	19.388	652.51	0.21759	3.7799e-06	0.067825	supercritical
53.000	43.000	25.527	0.039174	428.78	597.23	14.226	6.6743	18.759	655.48	0.21862	3.7425e-06	0.067096	supercritical
54.000	43.000	24.585	0.040675	440.79	615.70	14.571	6.6616	18.185	658.99	0.21869	3.7137e-06	0.066506	supercritical
55.000	43.000	23.723	0.042153	452.36	633.62	14.900	6.6502	17.664	662.90	0.21799	3.6921e-06	0.066037	supercritical
56.000	43.000	22.931	0.043609	463.53	651.04	15.214	6.6401	17.193	667.12	0.21667	3.6766e-06	0.065671	supercritical
57.000	43.000	22.202	0.045042	474.34	668.02	15.514	6.6314	16.768	671.57	0.21485	3.6661e-06	0.065395	supercritical
58.000	43.000	21.527	0.046453	484.84	684.59	15.802	6.6242	16.384	676.18	0.21264	3.6600e-06	0.065197	supercritical
59.000	43.000	20.901	0.047845	495.07	700.80	16.079	6.6183	16.038	680.91	0.21011	3.6576e-06	0.065066	supercritical
60.000	43.000	20.318	0.049218	505.04	716.68	16.346	6.6139	15.724	685.72	0.20734	3.6583e-06	0.064995	supercritical
61.000	43.000	19.773	0.050573	514.80	732.26	16.604	6.6107	15.439	690.59	0.20438	3.6617e-06	0.064975	supercritical
62.000	43.000	19.264	0.051911	524.35	747.57	16.853	6.6089	15.181	695.48	0.20128	3.6675e-06	0.065002	supercritical
63.000	43.000	18.785	0.053233	533.72	762.63	17.094	6.6083	14.945	700.39	0.19808	3.6753e-06	0.065069	supercritical
64.000	43.000	18.335	0.054541	542.94	777.46	17.327	6.6089	14.731	705.30	0.19479	3.6849e-06	0.065172	supercritical
65.000	43.000	17.910	0.055835	552.01	792.09	17.554	6.6108	14.535	710.20	0.19145	3.6961e-06	0.065307	supercritical
66.000	43.000	17.508	0.057115	560.94	806.54	17.775	6.6138	14.355	715.07	0.18807	3.7086e-06	0.065472	supercritical
67.000	43.000	17.128	0.058384	569.76	820.81	17.989	6.6179	14.191	719.91	0.18468	3.7225e-06	0.065664	supercritical
68.000	43.000	16.767	0.059641	578.47	834.92	18.198	6.6232	14.040	724.72	0.18127	3.7373e-06	0.065879	supercritical
69.000	43.000	16.424	0.060887	587.08	848.89	18.402	6.6295	13.901	729.49	0.17787	3.7532e-06	0.066116	supercritical
70.000	43.000	16.097	0.062123	595.60	862.73	18.601	6.6368	13.774	734.22	0.17449	3.7699e-06	0.066372	supercritical
71.000	43.000	15.786	0.063349	604.05	876.45	18.796	6.6452	13.657	738.90	0.17112	3.7874e-06	0.066647	supercritical
72.000	43.000	15.488	0.064565	612.42	890.05	18.986	6.6545	13.549	743.54	0.16778	3.8057e-06	0.066939	supercritical
73.000	43.000	15.204	0.065774	620.72	903.55	19.172	6.6648	13.449	748.13	0.16446	3.8245e-06	0.067247	supercritical
74.000	43.000	14.931	0.066974	628.96	916.95	19.355	6.6761	13.358	752.66	0.16119	3.8439e-06	0.067568	supercritical
75.000	43.000	14.670	0.068166	637.15	930.26	19.533	6.6882	13.273	757.15	0.15794	3.8638e-06	0.067904	supercritical
76.000	43.000	14.419	0.069351	645.29	943.50	19.709	6.7013	13.195	761.59	0.15474	3.8842e-06	0.068251	supercritical
77.000	43.000	14.179	0.070528	653.38	956.66	19.881	6.7151	13.124	765.98	0.15158	3.9050e-06	0.068611	supercritical
78.000	43.000	13.947	0.071699	661.44	969.75	20.050	6.7298	13.058	770.31	0.14847	3.9262e-06	0.068982	supercritical
79.000	43.000	13.724	0.072864	669.46	982.77	20.216	6.7454	12.997	774.60	0.14540	3.9477e-06	0.069363	supercritical
80.000	43.000	13.509	0.074022	677.45	995.74	20.379	6.7616	12.941	778.84	0.14237	3.9696e-06	0.069753	supercritical
81.000	43.000	13.302	0.075175	685.40	1008.7	20.539	6.7787	12.890	783.03	0.13939	3.9917e-06	0.070154	supercritical
82.000	43.000	13.102	0.076322	693.34	1021.5	20.697	6.7964	12.843	787.17	0.13646	4.0141e-06	0.070562	supercritical
83.000	43.000	12.909	0.077464	701.25	1034.3	20.852	6.8149	12.800	791.26	0.13357	4.0367e-06	0.070980	supercritical
84.000	43.000	12.722	0.078601	709.14	1047.1	21.006	6.8340	12.760	795.31	0.13073	4.0596e-06	0.071405	supercritical
85.000	43.000	12.542	0.079733	717.01	1059.9	21.156	6.8537	12.724	799.32	0.12794	4.0826e-06	0.071838	supercritical
86.000	43.000	12.367	0.080860	724.87	1072.6	21.305	6.8741	12.692	803.28	0.12520	4.1059e-06	0.072279	supercritical
87.000	43.000	12.198	0.081983	732.72	1085.2	21.452	6.8950	12.662	807.19	0.12251	4.1293e-06	0.072726	supercritical
88.000	43.000	12.033	0.083102	740.56	1097.9	21.596	6.9165	12.636	811.07	0.11986	4.1528e-06	0.073181	supercritical
89.000	43.000	11.874	0.084216	748.39	1110.5	21.739	6.9385	12.612	814.90	0.11725	4.1765e-06	0.073642	supercritical
