Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
77.000	0.50000	2.2348	0.44747	55.917	78.290	5.6269	0.75581	1.0781	176.71	2.6848	5.3788e-06	0.0070708	vapor
78.000	0.50000	2.2043	0.45365	56.685	79.368	5.6408	0.75505	1.0762	177.94	2.6127	5.4477e-06	0.0071702	vapor
79.000	0.50000	2.1748	0.45982	57.452	80.443	5.6545	0.75434	1.0745	179.16	2.5440	5.5164e-06	0.0072694	vapor
80.000	0.50000	2.1460	0.46598	58.217	81.517	5.6680	0.75368	1.0729	180.37	2.4784	5.5850e-06	0.0073685	vapor
81.000	0.50000	2.1180	0.47214	58.982	82.589	5.6813	0.75307	1.0714	181.56	2.4157	5.6535e-06	0.0074676	vapor
82.000	0.50000	2.0908	0.47828	59.745	83.659	5.6944	0.75250	1.0699	182.75	2.3557	5.7219e-06	0.0075665	vapor
83.000	0.50000	2.0643	0.48442	60.508	84.729	5.7074	0.75197	1.0686	183.93	2.2982	5.7901e-06	0.0076654	vapor
84.000	0.50000	2.0385	0.49055	61.269	85.797	5.7202	0.75148	1.0674	185.10	2.2432	5.8582e-06	0.0077641	vapor
85.000	0.50000	2.0134	0.49667	62.030	86.863	5.7328	0.75101	1.0662	186.26	2.1904	5.9262e-06	0.0078627	vapor
86.000	0.50000	1.9889	0.50278	62.790	87.929	5.7453	0.75058	1.0651	187.42	2.1397	5.9941e-06	0.0079612	vapor
87.000	0.50000	1.9651	0.50889	63.549	88.994	5.7576	0.75017	1.0640	188.56	2.0911	6.0618e-06	0.0080596	vapor
88.000	0.50000	1.9418	0.51499	64.308	90.057	5.7697	0.74979	1.0631	189.70	2.0443	6.1294e-06	0.0081579	vapor
89.000	0.50000	1.9191	0.52109	65.065	91.120	5.7817	0.74943	1.0621	190.82	1.9994	6.1969e-06	0.0082560	vapor
90.000	0.50000	1.8969	0.52718	65.822	92.181	5.7936	0.74910	1.0613	191.94	1.9561	6.2643e-06	0.0083541	vapor
91.000	0.50000	1.8752	0.53326	66.579	93.242	5.8053	0.74878	1.0604	193.06	1.9144	6.3315e-06	0.0084520	vapor
92.000	0.50000	1.8541	0.53934	67.335	94.302	5.8169	0.74849	1.0596	194.16	1.8743	6.3986e-06	0.0085497	vapor
93.000	0.50000	1.8334	0.54542	68.090	95.362	5.8284	0.74821	1.0589	195.26	1.8356	6.4655e-06	0.0086474	vapor
94.000	0.50000	1.8133	0.55149	68.845	96.420	5.8397	0.74795	1.0582	196.35	1.7982	6.5323e-06	0.0087449	vapor
95.000	0.50000	1.7935	0.55756	69.600	97.478	5.8509	0.74770	1.0575	197.43	1.7622	6.5990e-06	0.0088423	vapor
96.000	0.50000	1.7742	0.56362	70.354	98.535	5.8619	0.74746	1.0569	198.51	1.7274	6.6656e-06	0.0089395	vapor
97.000	0.50000	1.7554	0.56968	71.108	99.592	5.8729	0.74724	1.0563	199.58	1.6937	6.7320e-06	0.0090366	vapor
98.000	0.50000	1.7369	0.57574	71.861	100.65	5.8837	0.74703	1.0557	200.64	1.6612	6.7983e-06	0.0091335	vapor
99.000	0.50000	1.7188	0.58179	72.614	101.70	5.8944	0.74684	1.0552	201.70	1.6298	6.8644e-06	0.0092304	vapor
100.00	0.50000	1.7011	0.58784	73.366	102.76	5.9050	0.74665	1.0546	202.75	1.5993	6.9304e-06	0.0093270	vapor
101.00	0.50000	1.6838	0.59388	74.118	103.81	5.9155	0.74647	1.0541	203.80	1.5699	6.9963e-06	0.0094236	vapor
102.00	0.50000	1.6669	0.59993	74.870	104.87	5.9259	0.74630	1.0537	204.84	1.5413	7.0621e-06	0.0095200	vapor
103.00	0.50000	1.6503	0.60597	75.621	105.92	5.9362	0.74615	1.0532	205.87	1.5137	7.1277e-06	0.0096162	vapor
104.00	0.50000	1.6340	0.61200	76.373	106.97	5.9464	0.74599	1.0528	206.90	1.4868	7.1932e-06	0.0097123	vapor
105.00	0.50000	1.6180	0.61804	77.123	108.03	5.9564	0.74585	1.0524	207.92	1.4608	7.2585e-06	0.0098083	vapor
106.00	0.50000	1.6024	0.62407	77.874	109.08	5.9664	0.74571	1.0520	208.94	1.4356	7.3237e-06	0.0099041	vapor
107.00	0.50000	1.5871	0.63010	78.624	110.13	5.9763	0.74558	1.0516	209.95	1.4111	7.3888e-06	0.0099997	vapor
108.00	0.50000	1.5720	0.63612	79.374	111.18	5.9861	0.74546	1.0512	210.95	1.3873	7.4538e-06	0.010095	vapor
109.00	0.50000	1.5573	0.64215	80.124	112.23	5.9958	0.74534	1.0509	211.95	1.3641	7.5186e-06	0.010191	vapor
110.00	0.50000	1.5428	0.64817	80.874	113.28	6.0054	0.74523	1.0505	212.95	1.3417	7.5833e-06	0.010286	vapor
111.00	0.50000	1.5286	0.65419	81.623	114.33	6.0149	0.74513	1.0502	213.94	1.3198	7.6478e-06	0.010381	vapor
112.00	0.50000	1.5147	0.66020	82.372	115.38	6.0243	0.74502	1.0499	214.92	1.2985	7.7122e-06	0.010476	vapor
113.00	0.50000	1.5010	0.66622	83.121	116.43	6.0336	0.74493	1.0496	215.90	1.2779	7.7765e-06	0.010571	vapor
114.00	0.50000	1.4876	0.67223	83.870	117.48	6.0429	0.74484	1.0493	216.88	1.2577	7.8406e-06	0.010665	vapor
115.00	0.50000	1.4744	0.67825	84.619	118.53	6.0520	0.74475	1.0491	217.85	1.2381	7.9046e-06	0.010760	vapor
116.00	0.50000	1.4614	0.68426	85.367	119.58	6.0611	0.74466	1.0488	218.82	1.2190	7.9685e-06	0.010854	vapor
117.00	0.50000	1.4487	0.69026	86.116	120.63	6.0701	0.74458	1.0485	219.78	1.2004	8.0323e-06	0.010948	vapor
118.00	0.50000	1.4362	0.69627	86.864	121.68	6.0790	0.74451	1.0483	220.74	1.1823	8.0959e-06	0.011042	vapor
119.00	0.50000	1.4239	0.70227	87.612	122.73	6.0879	0.74443	1.0481	221.69	1.1647	8.1594e-06	0.011136	vapor
120.00	0.50000	1.4119	0.70828	88.359	123.77	6.0966	0.74436	1.0478	222.64	1.1474	8.2227e-06	0.011230	vapor
121.00	0.50000	1.4000	0.71428	89.107	124.82	6.1053	0.74429	1.0476	223.58	1.1306	8.2859e-06	0.011323	vapor
122.00	0.50000	1.3883	0.72028	89.855	125.87	6.1140	0.74423	1.0474	224.52	1.1142	8.3490e-06	0.011417	vapor
123.00	0.50000	1.3769	0.72628	90.602	126.92	6.1225	0.74417	1.0472	225.46	1.0982	8.4120e-06	0.011510	vapor
124.00	0.50000	1.3656	0.73228	91.349	127.96	6.1310	0.74411	1.0470	226.39	1.0826	8.4748e-06	0.011603	vapor
125.00	0.50000	1.3545	0.73827	92.096	129.01	6.1394	0.74405	1.0468	227.32	1.0673	8.5375e-06	0.011696	vapor
