Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
77.000	334.00	869.88	0.0011496	-135.06	-96.665	2.6495	1.1589	1.8638	1059.4	-0.044477	0.00024532	0.17512	liquid
78.000	334.00	866.73	0.0011538	-133.34	-94.802	2.6735	1.1530	1.8618	1052.9	-0.044386	0.00023690	0.17360	liquid
79.000	334.00	863.57	0.0011580	-131.62	-92.942	2.6972	1.1471	1.8598	1046.6	-0.044291	0.00022897	0.17209	liquid
80.000	334.00	860.42	0.0011622	-129.90	-91.083	2.7206	1.1414	1.8578	1040.2	-0.044192	0.00022148	0.17058	liquid
81.000	334.00	857.26	0.0011665	-128.19	-89.226	2.7437	1.1358	1.8558	1033.9	-0.044089	0.00021440	0.16909	liquid
82.000	334.00	854.10	0.0011708	-126.48	-87.371	2.7664	1.1303	1.8539	1027.6	-0.043982	0.00020770	0.16760	liquid
83.000	334.00	850.93	0.0011752	-124.77	-85.518	2.7889	1.1248	1.8520	1021.4	-0.043871	0.00020137	0.16611	liquid
84.000	334.00	847.77	0.0011796	-123.06	-83.667	2.8111	1.1195	1.8501	1015.2	-0.043755	0.00019536	0.16464	liquid
85.000	334.00	844.60	0.0011840	-121.36	-81.818	2.8330	1.1143	1.8483	1009.0	-0.043636	0.00018966	0.16317	liquid
86.000	334.00	841.43	0.0011884	-119.66	-79.971	2.8546	1.1092	1.8465	1002.9	-0.043512	0.00018425	0.16172	liquid
87.000	334.00	838.26	0.0011929	-117.97	-78.125	2.8759	1.1041	1.8447	996.74	-0.043383	0.00017911	0.16027	liquid
88.000	334.00	835.09	0.0011975	-116.28	-76.281	2.8970	1.0992	1.8429	990.66	-0.043251	0.00017422	0.15882	liquid
89.000	334.00	831.92	0.0012020	-114.59	-74.439	2.9178	1.0943	1.8412	984.61	-0.043113	0.00016956	0.15739	liquid
90.000	334.00	828.74	0.0012066	-112.90	-72.599	2.9383	1.0896	1.8395	978.60	-0.042971	0.00016512	0.15597	liquid
91.000	334.00	825.56	0.0012113	-111.22	-70.760	2.9587	1.0849	1.8378	972.61	-0.042824	0.00016089	0.15455	liquid
92.000	334.00	822.39	0.0012160	-109.54	-68.923	2.9787	1.0803	1.8361	966.65	-0.042672	0.00015684	0.15314	liquid
93.000	334.00	819.21	0.0012207	-107.86	-67.088	2.9986	1.0758	1.8345	960.73	-0.042515	0.00015298	0.15174	liquid
94.000	334.00	816.02	0.0012255	-106.18	-65.254	3.0182	1.0714	1.8329	954.83	-0.042354	0.00014928	0.15035	liquid
