Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	71.000	1290.4	0.00077496	-185.29	-179.78	2.2385	1.0913	1.6585	1146.8	-0.037462	0.00061146	0.19681	liquid
61.000	71.000	1286.1	0.00077754	-183.65	-178.13	2.2660	1.0825	1.6603	1142.9	-0.037305	0.00058263	0.19546	liquid
62.000	71.000	1281.8	0.00078014	-182.00	-176.46	2.2930	1.0747	1.6618	1138.3	-0.037163	0.00055571	0.19411	liquid
63.000	71.000	1277.5	0.00078278	-180.36	-174.80	2.3196	1.0677	1.6629	1133.1	-0.037032	0.00053058	0.19276	liquid
64.000	71.000	1273.2	0.00078544	-178.72	-173.14	2.3458	1.0612	1.6638	1127.5	-0.036912	0.00050710	0.19141	liquid
65.000	71.000	1268.8	0.00078813	-177.07	-171.47	2.3716	1.0551	1.6644	1121.4	-0.036799	0.00048514	0.19006	liquid
66.000	71.000	1264.5	0.00079085	-175.42	-169.81	2.3970	1.0493	1.6647	1115.0	-0.036693	0.00046459	0.18870	liquid
67.000	71.000	1260.1	0.00079359	-173.78	-168.14	2.4220	1.0439	1.6648	1108.4	-0.036591	0.00044535	0.18735	liquid
68.000	71.000	1255.7	0.00079635	-172.13	-166.48	2.4467	1.0386	1.6648	1101.6	-0.036491	0.00042732	0.18600	liquid
69.000	71.000	1251.3	0.00079914	-170.49	-164.82	2.4710	1.0335	1.6646	1094.6	-0.036393	0.00041040	0.18465	liquid
70.000	71.000	1246.9	0.00080196	-168.84	-163.15	2.4949	1.0285	1.6643	1087.4	-0.036295	0.00039452	0.18330	liquid
71.000	71.000	1242.5	0.00080480	-167.20	-161.49	2.5185	1.0237	1.6640	1080.2	-0.036196	0.00037959	0.18196	liquid
72.000	71.000	1238.1	0.00080766	-165.56	-159.82	2.5418	1.0189	1.6636	1072.9	-0.036094	0.00036555	0.18061	liquid
73.000	71.000	1233.7	0.00081055	-163.91	-158.16	2.5647	1.0143	1.6631	1065.6	-0.035989	0.00035232	0.17926	liquid
74.000	71.000	1229.3	0.00081347	-162.27	-156.50	2.5874	1.0097	1.6627	1058.2	-0.035880	0.00033986	0.17791	liquid
75.000	71.000	1224.9	0.00081642	-160.63	-154.83	2.6097	1.0051	1.6624	1050.8	-0.035766	0.00032810	0.17656	liquid
76.000	71.000	1220.4	0.00081939	-158.99	-153.17	2.6317	1.0006	1.6620	1043.3	-0.035647	0.00031699	0.17521	liquid
77.000	71.000	1216.0	0.00082239	-157.35	-151.51	2.6534	0.99621	1.6617	1035.8	-0.035521	0.00030649	0.17386	liquid
78.000	71.000	1211.5	0.00082542	-155.71	-149.85	2.6749	0.99184	1.6615	1028.3	-0.035387	0.00029656	0.17251	liquid
79.000	71.000	1207.0	0.00082848	-154.07	-148.19	2.6960	0.98752	1.6614	1020.8	-0.035247	0.00028714	0.17116	liquid
80.000	71.000	1202.6	0.00083157	-152.43	-146.53	2.7169	0.98325	1.6614	1013.3	-0.035098	0.00027822	0.16980	liquid
81.000	71.000	1198.1	0.00083469	-150.79	-144.86	2.7376	0.97904	1.6614	1005.8	-0.034941	0.00026974	0.16845	liquid
82.000	71.000	1193.5	0.00083784	-149.15	-143.20	2.7580	0.97487	1.6616	998.23	-0.034775	0.00026169	0.16710	liquid
83.000	71.000	1189.0	0.00084103	-147.51	-141.54	2.7781	0.97075	1.6619	990.71	-0.034600	0.00025403	0.16574	liquid
84.000	71.000	1184.5	0.00084425	-145.87	-139.88	2.7980	0.96668	1.6623	983.17	-0.034414	0.00024674	0.16439	liquid
85.000	71.000	1179.9	0.00084751	-144.23	-138.22	2.8177	0.96266	1.6628	975.64	-0.034219	0.00023979	0.16303	liquid
86.000	71.000	1175.4	0.00085081	-142.59	-136.55	2.8371	0.95869	1.6635	968.11	-0.034013	0.00023316	0.16167	liquid
87.000	71.000	1170.8	0.00085414	-140.95	-134.89	2.8564	0.95477	1.6643	960.57	-0.033796	0.00022683	0.16031	liquid
88.000	71.000	1166.2	0.00085751	-139.31	-133.22	2.8754	0.95090	1.6652	953.03	-0.033568	0.00022078	0.15895	liquid
89.000	71.000	1161.5	0.00086092	-137.67	-131.56	2.8942	0.94708	1.6663	945.48	-0.033328	0.00021499	0.15759	liquid
90.000	71.000	1156.9	0.00086438	-136.03	-129.89	2.9128	0.94331	1.6675	937.93	-0.033076	0.00020944	0.15623	liquid
91.000	71.000	1152.2	0.00086788	-134.39	-128.22	2.9313	0.93958	1.6689	930.37	-0.032811	0.00020413	0.15486	liquid
92.000	71.000	1147.6	0.00087142	-132.74	-126.55	2.9495	0.93591	1.6705	922.81	-0.032533	0.00019903	0.15350	liquid
93.000	71.000	1142.8	0.00087501	-131.10	-124.88	2.9676	0.93228	1.6722	915.24	-0.032243	0.00019413	0.15213	liquid
94.000	71.000	1138.1	0.00087864	-129.45	-123.21	2.9855	0.92871	1.6740	907.66	-0.031938	0.00018941	0.15076	liquid
95.000	71.000	1133.4	0.00088233	-127.80	-121.53	3.0032	0.92518	1.6760	900.07	-0.031619	0.00018488	0.14939	liquid
96.000	71.000	1128.6	0.00088606	-126.15	-119.86	3.0208	0.92170	1.6782	892.47	-0.031285	0.00018052	0.14802	liquid
97.000	71.000	1123.8	0.00088985	-124.50	-118.18	3.0382	0.91827	1.6806	884.85	-0.030937	0.00017631	0.14664	liquid
98.000	71.000	1119.0	0.00089369	-122.84	-116.50	3.0554	0.91488	1.6831	877.22	-0.030572	0.00017225	0.14527	liquid
99.000	71.000	1114.1	0.00089759	-121.19	-114.81	3.0725	0.91155	1.6858	869.58	-0.030191	0.00016833	0.14389	liquid
100.00	71.000	1109.2	0.00090154	-119.53	-113.13	3.0895	0.90826	1.6887	861.92	-0.029793	0.00016454	0.14252	liquid
101.00	71.000	1104.3	0.00090556	-117.86	-111.43	3.1063	0.90501	1.6917	854.24	-0.029378	0.00016088	0.14114	liquid
102.00	71.000	1099.3	0.00090963	-116.20	-109.74	3.1230	0.90181	1.6950	846.54	-0.028944	0.00015733	0.13976	liquid
103.00	71.000	1094.4	0.00091377	-114.53	-108.04	3.1395	0.89866	1.6985	838.82	-0.028492	0.00015390	0.13838	liquid
104.00	71.000	1089.3	0.00091798	-112.86	-106.34	3.1560	0.89556	1.7021	831.08	-0.028020	0.00015056	0.13699	liquid
105.00	71.000	1084.3	0.00092226	-111.19	-104.64	3.1723	0.89250	1.7060	823.32	-0.027527	0.00014733	0.13561	liquid
106.00	71.000	1079.2	0.00092660	-109.51	-102.93	3.1885	0.88949	1.7101	815.52	-0.027013	0.00014419	0.13422	liquid
107.00	71.000	1074.1	0.00093102	-107.83	-101.22	3.2045	0.88652	1.7144	807.71	-0.026477	0.00014114	0.13284	liquid
108.00	71.000	1068.9	0.00093552	-106.15	-99.503	3.2205	0.88360	1.7190	799.86	-0.025918	0.00013818	0.13146	liquid
109.00	71.000	1063.7	0.00094010	-104.46	-97.782	3.2364	0.88072	1.7238	791.99	-0.025334	0.00013529	0.13008	liquid
110.00	71.000	1058.5	0.00094476	-102.76	-96.056	3.2521	0.87789	1.7288	784.08	-0.024725	0.00013248	0.12869	liquid
111.00	71.000	1053.2	0.00094951	-101.07	-94.324	3.2678	0.87511	1.7341	776.14	-0.024090	0.00012975	0.12731	liquid
112.00	71.000	1047.8	0.00095434	-99.363	-92.588	3.2834	0.87237	1.7397	768.17	-0.023427	0.00012708	0.12592	liquid
113.00	71.000	1042.5	0.00095927	-97.656	-90.845	3.2989	0.86968	1.7455	760.16	-0.022734	0.00012447	0.12454	liquid
114.00	71.000	1037.0	0.00096430	-95.943	-89.096	3.3143	0.86704	1.7517	752.11	-0.022011	0.00012193	0.12315	liquid
115.00	71.000	1031.5	0.00096943	-94.224	-87.342	3.3296	0.86444	1.7582	744.02	-0.021255	0.00011945	0.12176	liquid
116.00	71.000	1026.0	0.00097466	-92.500	-85.580	3.3449	0.86189	1.7650	735.89	-0.020466	0.00011702	0.12037	liquid
117.00	71.000	1020.4	0.00098000	-90.769	-83.811	3.3600	0.85939	1.7721	727.71	-0.019641	0.00011465	0.11899	liquid
118.00	71.000	1014.8	0.00098546	-89.032	-82.036	3.3751	0.85694	1.7796	719.49	-0.018778	0.00011232	0.11760	liquid
119.00	71.000	1009.0	0.00099104	-87.289	-80.252	3.3902	0.85453	1.7875	711.22	-0.017875	0.00011005	0.11621	liquid
120.00	71.000	1003.3	0.00099675	-85.537	-78.460	3.4052	0.85218	1.7958	702.90	-0.016930	0.00010782	0.11482	liquid
121.00	71.000	997.42	0.0010026	-83.779	-76.660	3.4201	0.84988	1.8046	694.52	-0.015940	0.00010564	0.11343	liquid
122.00	71.000	991.50	0.0010086	-82.012	-74.851	3.4350	0.84763	1.8138	686.09	-0.014902	0.00010350	0.11204	liquid
123.00	71.000	985.52	0.0010147	-80.237	-73.033	3.4499	0.84544	1.8235	677.60	-0.013815	0.00010139	0.11065	liquid
124.00	71.000	979.45	0.0010210	-78.453	-71.204	3.4647	0.84331	1.8337	669.05	-0.012674	9.9333e-05	0.10926	liquid
125.00	71.000	973.31	0.0010274	-76.660	-69.365	3.4794	0.84123	1.8445	660.43	-0.011475	9.7308e-05	0.10787	liquid
126.00	71.000	967.09	0.0010340	-74.856	-67.515	3.4942	0.83921	1.8559	651.75	-0.010216	9.5318e-05	0.10648	liquid
127.00	71.000	960.78	0.0010408	-73.043	-65.653	3.5089	0.83725	1.8679	643.00	-0.0088922	9.3362e-05	0.10509	liquid
128.00	71.000	954.37	0.0010478	-71.218	-63.779	3.5236	0.83535	1.8806	634.17	-0.0074983	9.1438e-05	0.10370	liquid
