Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	125.00	1296.5	0.00077129	-186.07	-176.43	2.2249	1.0933	1.6483	1161.1	-0.037761	0.00063722	0.19894	liquid
61.000	125.00	1292.3	0.00077378	-184.45	-174.78	2.2522	1.0858	1.6508	1157.1	-0.037601	0.00060730	0.19764	liquid
62.000	125.00	1288.1	0.00077631	-182.83	-173.13	2.2790	1.0791	1.6527	1152.5	-0.037459	0.00057937	0.19634	liquid
63.000	125.00	1283.9	0.00077886	-181.21	-171.47	2.3055	1.0729	1.6542	1147.3	-0.037331	0.00055328	0.19504	liquid
64.000	125.00	1279.7	0.00078143	-179.58	-169.82	2.3316	1.0671	1.6553	1141.7	-0.037217	0.00052890	0.19374	liquid
65.000	125.00	1275.5	0.00078402	-177.96	-168.16	2.3572	1.0616	1.6560	1135.8	-0.037113	0.00050610	0.19244	liquid
66.000	125.00	1271.2	0.00078664	-176.34	-166.50	2.3825	1.0564	1.6563	1129.6	-0.037017	0.00048476	0.19114	liquid
67.000	125.00	1267.0	0.00078928	-174.71	-164.85	2.4074	1.0514	1.6564	1123.1	-0.036928	0.00046478	0.18984	liquid
68.000	125.00	1262.7	0.00079194	-173.09	-163.19	2.4320	1.0465	1.6563	1116.5	-0.036843	0.00044605	0.18854	liquid
69.000	125.00	1258.5	0.00079463	-171.47	-161.54	2.4561	1.0417	1.6560	1109.7	-0.036761	0.00042849	0.18724	liquid
70.000	125.00	1254.2	0.00079733	-169.85	-159.88	2.4800	1.0370	1.6555	1102.9	-0.036681	0.00041199	0.18594	liquid
71.000	125.00	1249.9	0.00080006	-168.23	-158.23	2.5034	1.0324	1.6549	1095.9	-0.036602	0.00039648	0.18464	liquid
72.000	125.00	1245.6	0.00080281	-166.61	-156.57	2.5266	1.0278	1.6542	1088.9	-0.036521	0.00038190	0.18334	liquid
73.000	125.00	1241.3	0.00080558	-164.99	-154.92	2.5494	1.0233	1.6535	1081.8	-0.036439	0.00036817	0.18204	liquid
74.000	125.00	1237.1	0.00080837	-163.37	-153.26	2.5719	1.0188	1.6528	1074.7	-0.036354	0.00035522	0.18075	liquid
75.000	125.00	1232.8	0.00081118	-161.75	-151.61	2.5941	1.0144	1.6520	1067.6	-0.036266	0.00034301	0.17945	liquid
76.000	125.00	1228.5	0.00081402	-160.13	-149.96	2.6159	1.0100	1.6513	1060.4	-0.036173	0.00033148	0.17815	liquid
77.000	125.00	1224.2	0.00081689	-158.52	-148.31	2.6375	1.0056	1.6506	1053.3	-0.036076	0.00032057	0.17685	liquid
78.000	125.00	1219.8	0.00081977	-156.91	-146.66	2.6588	1.0013	1.6499	1046.1	-0.035973	0.00031026	0.17555	liquid
79.000	125.00	1215.5	0.00082269	-155.29	-145.01	2.6798	0.99707	1.6493	1039.0	-0.035864	0.00030049	0.17426	liquid
80.000	125.00	1211.2	0.00082563	-153.68	-143.36	2.7006	0.99285	1.6488	1031.8	-0.035749	0.00029122	0.17296	liquid
81.000	125.00	1206.9	0.00082859	-152.07	-141.71	2.7211	0.98867	1.6483	1024.6	-0.035626	0.00028243	0.17166	liquid
82.000	125.00	1202.5	0.00083159	-150.46	-140.06	2.7413	0.98454	1.6479	1017.5	-0.035497	0.00027408	0.17036	liquid
83.000	125.00	1198.2	0.00083461	-148.85	-138.42	2.7613	0.98045	1.6477	1010.3	-0.035360	0.00026614	0.16906	liquid
84.000	125.00	1193.8	0.00083766	-147.24	-136.77	2.7810	0.97641	1.6475	1003.2	-0.035215	0.00025858	0.16776	liquid
85.000	125.00	1189.4	0.00084074	-145.63	-135.12	2.8005	0.97242	1.6474	996.06	-0.035061	0.00025138	0.16646	liquid
86.000	125.00	1185.0	0.00084385	-144.02	-133.47	2.8197	0.96847	1.6474	988.93	-0.034900	0.00024451	0.16516	liquid
87.000	125.00	1180.6	0.00084699	-142.41	-131.83	2.8388	0.96456	1.6475	981.81	-0.034729	0.00023796	0.16385	liquid
