Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
60.000	133.00	1297.4	0.00077076	-186.18	-175.93	2.2229	1.0936	1.6469	1163.1	-0.037803	0.00064107	0.19925	liquid
63.233	133.00	1283.9	0.00077888	-180.95	-170.59	2.3096	1.0723	1.6533	1148.1	-0.037345	0.00055079	0.19507	liquid
66.467	133.00	1270.2	0.00078726	-175.71	-165.24	2.3921	1.0551	1.6553	1128.7	-0.037019	0.00047823	0.19089	liquid
69.700	133.00	1256.5	0.00079586	-170.48	-159.89	2.4707	1.0396	1.6545	1107.2	-0.036757	0.00041946	0.18671	liquid
72.933	133.00	1242.7	0.00080468	-165.25	-154.54	2.5457	1.0249	1.6523	1084.6	-0.036505	0.00037142	0.18254	liquid
76.167	133.00	1228.9	0.00081373	-160.03	-149.21	2.6173	1.0106	1.6497	1061.7	-0.036229	0.00033176	0.17836	liquid
79.400	133.00	1215.0	0.00082303	-154.82	-143.88	2.6858	0.99674	1.6474	1038.7	-0.035903	0.00029868	0.17419	liquid
82.633	133.00	1201.1	0.00083259	-149.63	-138.55	2.7515	0.98333	1.6459	1015.8	-0.035511	0.00027081	0.17001	liquid
85.867	133.00	1187.0	0.00084245	-144.44	-133.23	2.8147	0.97038	1.6453	992.85	-0.035039	0.00024709	0.16583	liquid
89.100	133.00	1172.8	0.00085263	-139.25	-127.91	2.8755	0.95792	1.6457	970.02	-0.034478	0.00022670	0.16165	liquid
92.333	133.00	1158.5	0.00086316	-134.07	-122.59	2.9342	0.94596	1.6474	947.25	-0.033819	0.00020899	0.15745	liquid
95.567	133.00	1144.1	0.00087408	-128.88	-117.26	2.9910	0.93449	1.6503	924.52	-0.033053	0.00019348	0.15325	liquid
98.800	133.00	1129.4	0.00088541	-123.69	-111.91	3.0459	0.92351	1.6545	901.81	-0.032171	0.00017976	0.14905	liquid
102.03	133.00	1114.6	0.00089721	-118.49	-106.56	3.0993	0.91300	1.6599	879.08	-0.031163	0.00016752	0.14484	liquid
105.27	133.00	1099.5	0.00090951	-113.28	-101.18	3.1512	0.90296	1.6668	856.32	-0.030018	0.00015652	0.14063	liquid
108.50	133.00	1084.2	0.00092236	-108.04	-95.777	3.2017	0.89335	1.6750	833.51	-0.028721	0.00014655	0.13643	liquid
111.73	133.00	1068.6	0.00093583	-102.79	-90.346	3.2511	0.88418	1.6847	810.62	-0.027257	0.00013746	0.13222	liquid
114.97	133.00	1052.7	0.00094997	-97.515	-84.880	3.2993	0.87544	1.6961	787.64	-0.025607	0.00012912	0.12804	liquid
118.20	133.00	1036.4	0.00096486	-92.208	-79.376	3.3465	0.86711	1.7091	764.55	-0.023748	0.00012141	0.12387	liquid
121.43	133.00	1019.8	0.00098058	-86.868	-73.826	3.3928	0.85919	1.7241	741.32	-0.021654	0.00011426	0.11972	liquid
124.67	133.00	1002.8	0.00099723	-81.488	-68.224	3.4383	0.85168	1.7411	717.95	-0.019292	0.00010760	0.11559	liquid
127.90	133.00	985.30	0.0010149	-76.063	-62.564	3.4832	0.84459	1.7605	694.41	-0.016625	0.00010136	0.11148	liquid
131.13	133.00	967.31	0.0010338	-70.586	-56.837	3.5274	0.83793	1.7826	670.71	-0.013607	9.5498e-05	0.10740	liquid
